point_vertex_id,nem12_id
p:bunnings:19df7ee6288-4c3c13,Optima_0000010008MQCB6-demand-kw
p:bunnings:19df7ee6811-dd0f24,Optima_0000010201MQ8E0-demand-kva
p:bunnings:19df7ee6272-c45c0c,Optima_0000005438UN02B-demand-kw
p:bunnings:19df7ee6292-b71a93,Optima_0000010167EN578-demand-kw
p:bunnings:19df7ee6299-c59976,Optima_0000010167EN578-demand-pf
p:bunnings:19df7ee6846-0f889c,Optima_0000010201MQ8E0-demand-pf
p:bunnings:19df7ee6875-4ad82d,Optima_0000010301MQ1E4-demand-kw
p:bunnings:19df7ee6952-595fee,Optima_0000017507WE6E9-demand-kva
p:bunnings:19df7ee69cc-0a2bca,Optima_0000017507WE6E9-demand-pf
p:bunnings:19df7ee6a1a-e8544f,Optima_0000030921UN7D3-demand-kw
p:bunnings:19df7ee6a70-79ee3f,Optima_0000030921UN7D3-demand-kva
p:bunnings:19df7ee6aad-3a74b9,Optima_0000030921UN7D3-demand-pf
p:bunnings:19df7ee6296-4d4461,Optima_0000010167EN578-demand-kva
p:bunnings:19df7ee6ae1-f3620e,Optima_0000031296NT48D-demand-kw
p:bunnings:19df7ee6b03-33dc5a,Optima_0000031296NT48D-demand-kva
p:bunnings:19df7ee6b0a-ea4ec6,Optima_0000031296NT48D-demand-pf
p:bunnings:19df7ee6b53-e3ab7c,Optima_0000031461UN1DE-demand-kva
p:bunnings:19df7ee6b4b-da6c0b,Optima_0000031461UN1DE-demand-kw
p:bunnings:19df7ee6b81-f2011e,Optima_0000031461UN1DE-demand-pf
p:bunnings:19df7ee6b84-3fb980,Optima_0000040408WE727-demand-kw
p:bunnings:19df7ee6bd2-f04868,Optima_0000040408WE727-demand-pf
p:bunnings:19df7ee6c11-64008d,Optima_0000169458TR8B7-demand-kw
p:bunnings:19df7ee6c50-c4bec3,Optima_0000169458TR8B7-demand-kva
p:bunnings:19df7ee6c88-d71716,Optima_0000169458TR8B7-demand-pf
p:bunnings:19df7ee6cc2-85ee15,Optima_0000208065DEB8E-demand-kw
p:bunnings:19df7ee6d14-cb13bb,Optima_0000208065DEB8E-demand-kva
p:bunnings:19df7ee6d4f-cea3f6,Optima_0000208065DEB8E-demand-pf
p:bunnings:19df7ee6d7b-6a297c,Optima_0000224395UN8D8-demand-kw
p:bunnings:19df7ee6dc5-090747,Optima_0000224395UN8D8-demand-kva
p:bunnings:19df7ee6e06-3fee22,Optima_0000224395UN8D8-demand-pf
p:bunnings:19df7ee6e3e-97cb51,Optima_0000370348TU9B2-demand-kw
p:bunnings:19df7ee6e83-9b9c84,Optima_0000370348TU9B2-demand-kva
p:bunnings:19df7ee6eb5-9b9a7e,Optima_0000370348TU9B2-demand-pf
p:bunnings:19df7ee6ee4-577a3f,Optima_0000460571HB313-demand-kw
p:bunnings:19df7ee6f31-f896da,Optima_0000460571HB313-demand-kva
p:bunnings:19df7ee6f63-19dfb7,Optima_0000460571HB313-demand-pf
p:bunnings:19df7ee6f94-4591a5,Optima_0000510660CEE36-demand-kw
p:bunnings:19df7ee6fe1-324033,Optima_0000510660CEE36-demand-kva
p:bunnings:19df7ee700d-c1114a,Optima_0000510660CEE36-demand-pf
p:bunnings:19df7ee7047-1cff76,Optima_0000554333NR04E-demand-kw
p:bunnings:19df7ee7087-a23fbc,Optima_0000554333NR04E-demand-kva
p:bunnings:19df7ee70c2-085a16,Optima_0000554333NR04E-demand-pf
p:bunnings:19df7ee70fb-0482c9,Optima_0000574728NR1FB-demand-kw
p:bunnings:19df7ee7138-d63cf3,Optima_0000574728NR1FB-demand-kva
p:bunnings:19df7ee6277-292f93,Optima_0000005438UN02B-demand-kva
p:bunnings:19df7ee628c-6971c8,Optima_0000010008MQCB6-demand-pf
p:bunnings:19df7ee629e-c56bea,Optima_0000010201MQ8E0-demand-kw
p:bunnings:19df7ee6285-74902e,Optima_0000005438UN02B-demand-pf
p:bunnings:19df7ee68a1-2bfba5,Optima_0000010301MQ1E4-demand-kva
p:bunnings:19df7ee692d-9b06a1,Optima_0000017507WE6E9-demand-kw
p:bunnings:19df7ee6288-8e2696,Optima_0000010008MQCB6-demand-kva
p:bunnings:19df7ee68ef-2302b2,Optima_0000010301MQ1E4-demand-pf
p:bunnings:19df7ee717b-a0a775,Optima_0000642472UNE8D-demand-kva
p:bunnings:19df7ee715f-579599,Optima_0000574728NR1FB-demand-pf
p:bunnings:19df7ee7173-44a028,Optima_0000642472UNE8D-demand-kw
p:bunnings:19df7ee717f-8ef7cd,Optima_0000642472UNE8D-demand-pf
p:bunnings:19df7ee71d6-4c74b4,Optima_0000754620NV3D3-demand-kw
p:bunnings:19df7ee7194-f4f74f,Optima_0000644728UN2D7-demand-kw
p:bunnings:19df7ee7205-6ddfb6,Optima_0001013851PC478-demand-kw
p:bunnings:19df7ee71fe-a28caa,Optima_0000754620NV3D3-demand-pf
p:bunnings:19df7ee7234-54b9e6,Optima_0001013851PC478-demand-pf
p:bunnings:19df7ee7236-b77ab4,Optima_0001070101PC5C1-demand-kw
p:bunnings:19df7ee7220-322a7d,Optima_0001013851PC478-demand-kva
p:bunnings:19df7ee71a4-8ae5cf,Optima_0000644728UN2D7-demand-kva
p:bunnings:19df7ee71c4-b2bbfe,Optima_0000644728UN2D7-demand-pf
p:bunnings:19df7ee7248-a1b0f5,Optima_0001070101PC5C1-demand-kva
p:bunnings:19df7ee724d-8c4c30,Optima_0001070101PC5C1-demand-pf
p:bunnings:19df7ee7274-903e9a,Optima_0001122488ML596-demand-kw
p:bunnings:19df7ee7272-de5926,Optima_0001110497EN2BF-demand-pf
p:bunnings:19df7ee727c-96e811,Optima_0001122488ML596-demand-pf
p:bunnings:19df7ee72c6-2df5e8,Optima_0001442559UNA69-demand-kva
p:bunnings:19df7ee7275-22ec00,Optima_0001122488ML596-demand-kva
p:bunnings:19df7ee726a-30b6c5,Optima_0001110497EN2BF-demand-kva
p:bunnings:19df7ee7306-c01e8a,Optima_0001442559UNA69-demand-pf
p:bunnings:19df7ee72be-2a564f,Optima_0001442559UNA69-demand-kw
p:bunnings:19df7ee72b2-33fa98,Optima_0001429708HRB31-demand-pf
p:bunnings:19df7ee7291-327877,Optima_0001429708HRB31-demand-kw
p:bunnings:19df7ee733d-ca2d2b,Optima_0001444159UN3A8-demand-pf
p:bunnings:19df7ee72b0-a2829e,Optima_0001429708HRB31-demand-kva
p:bunnings:19df7ee71db-e75144,Optima_0000754620NV3D3-demand-kva
p:bunnings:19df7ee7332-ecef65,Optima_0001444159UN3A8-demand-kva
p:bunnings:19df7ee739c-fcb101,Optima_0007113650RN9BE-demand-pf
p:bunnings:19df7ee7328-716870,Optima_0001444159UN3A8-demand-kw
p:bunnings:19df7ee73db-735894,Optima_0007130624RN6C4-demand-pf
p:bunnings:19df7ee6bb8-1f2cee,Optima_0000040408WE727-demand-kva
p:bunnings:19df7ee73da-840115,Optima_0007130624RN6C4-demand-kva
p:bunnings:19df7ee734e-2b6601,Optima_0003133799AAC0A-demand-kva
p:bunnings:19df7ee734d-c35915,Optima_0003133799AAC0A-demand-kw
p:bunnings:19df7ee7417-cd2432,Optima_0010000742TEB01-demand-kw
p:bunnings:19df7ee7418-b24778,Optima_0010000742TEB01-demand-kva
p:bunnings:19df7ee7383-d192ee,Optima_0007113650RN9BE-demand-kva
p:bunnings:19df7ee7378-dc7b3f,Optima_0007113650RN9BE-demand-kw
p:bunnings:19df7ee73ce-1c2936,Optima_0007130624RN6C4-demand-kw
p:bunnings:19df7ee7456-4c634d,Optima_0030020009PCC81-demand-kva
p:bunnings:19df7ee740d-3716d2,Optima_0007191761RN762-demand-kw
p:bunnings:19df7ee7413-3e0bb8,Optima_0007191761RN762-demand-pf
p:bunnings:19df7ee7482-4a9c49,Optima_0042251939PC172-demand-kw
p:bunnings:19df7ee7453-463b98,Optima_0030020009PCC81-demand-kw
p:bunnings:19df7ee7482-305169,Optima_0042251939PC172-demand-kva
p:bunnings:19df7ee74b3-13df8b,Optima_0339780738LC6FF-demand-kw
p:bunnings:19df7ee7412-486477,Optima_0007191761RN762-demand-kva
p:bunnings:19df7ee7453-1f6d9a,Optima_0010000742TEB01-demand-pf
p:bunnings:19df7ee74e4-4ef50d,Optima_0373268661LC684-demand-kw
p:bunnings:19df7ee74ca-459206,Optima_0339780738LC6FF-demand-kva
p:bunnings:19df7ee7471-6b04a9,Optima_0030020009PCC81-demand-pf
p:bunnings:19df7ee7522-8254ba,Optima_0409020448LC2B1-demand-kva
p:bunnings:19df7ee751c-a83a79,Optima_0409020448LC2B1-demand-kw
p:bunnings:19df7ee7564-64ef4e,Optima_0666552599LC17B-demand-pf
p:bunnings:19df7ee7557-b9e371,Optima_0666552599LC17B-demand-kva
p:bunnings:19df7ee7504-a1f6ea,Optima_0373268661LC684-demand-pf
p:bunnings:19df7ee74a1-1fd92a,Optima_0042251939PC172-demand-pf
p:bunnings:19df7ee74f2-09d173,Optima_0373268661LC684-demand-kva
p:bunnings:19df7ee74de-c06b41,Optima_0339780738LC6FF-demand-pf
p:bunnings:19df7ee752c-d7b6f8,Optima_0409020448LC2B1-demand-pf
p:bunnings:19df7ee7590-27630c,Optima_0900087110PCEDE-demand-kw
p:bunnings:19df7ee75b2-b3daf4,Optima_0900088965PCFA1-demand-kw
p:bunnings:19df7ee75b1-e18dfe,Optima_0900087110PCEDE-demand-pf
p:bunnings:19df7ee75d3-da8c7b,Optima_1000025373BP04C-demand-kw
p:bunnings:19df7ee75a8-eb288f,Optima_0900087110PCEDE-demand-kva
p:bunnings:19df7ee75be-1b298d,Optima_0900088965PCFA1-demand-kva
p:bunnings:19df7ee7656-173a74,Optima_1000596198PCBEF-demand-kw
p:bunnings:19df7ee75d2-0b1f69,Optima_0900088965PCFA1-demand-pf
p:bunnings:19df7ee7536-3f4ce0,Optima_0666552599LC17B-demand-kw
p:bunnings:19df7ee7648-45eb07,Optima_1000501428PCFFC-demand-kw
p:bunnings:19df7ee75dd-3916fc,Optima_1000025373BP04C-demand-kva
p:bunnings:19df7ee7650-c9069f,Optima_1000501428PCFFC-demand-pf
p:bunnings:19df7ee76bd-f51f75,Optima_1000601515PC2EF-demand-kw
p:bunnings:19df7ee764a-309a81,Optima_1000501428PCFFC-demand-kva
p:bunnings:19df7ee76bf-de5ccc,Optima_1000601515PC2EF-demand-kva
p:bunnings:19df7ee76e2-809ceb,Optima_1001127008LC5D1-demand-kw
p:bunnings:19df7ee76f8-da71ba,Optima_1001127008LC5D1-demand-pf
p:bunnings:19df7ee7712-b39349,Optima_1001149468CK2D1-demand-kva
p:bunnings:19df7ee7730-951f84,Optima_1001149468CK2D1-demand-pf
p:bunnings:19df7ee7645-0a9567,Optima_1000025373BP04C-demand-pf
p:bunnings:19df7ee7748-628576,Optima_1001157507CKBDA-demand-kw
p:bunnings:19df7ee76b7-a60a6d,Optima_1000596198PCBEF-demand-pf
p:bunnings:19df7ee76c9-3296ee,Optima_1000601515PC2EF-demand-pf
p:bunnings:19df7ee7696-f17ce6,Optima_1000596198PCBEF-demand-kva
p:bunnings:19df7ee7761-f6bf6f,Optima_1001157507CKBDA-demand-kva
p:bunnings:19df7ee7779-d2c4ce,Optima_1001158924LC14A-demand-kw
p:bunnings:19df7ee76ff-960a35,Optima_1001149468CK2D1-demand-kw
p:bunnings:19df7ee77eb-dd8ebb,Optima_1001252900UN5F5-demand-kw
p:bunnings:19df7ee7799-8c9d0b,Optima_1001158924LC14A-demand-kva
p:bunnings:19df7ee7824-379682,Optima_1001252900UN5F5-demand-kva
p:bunnings:19df7ee77d6-eeb118,Optima_1001163735UN571-demand-pf
p:bunnings:19df7ee77b1-edaf00,Optima_1001163735UN571-demand-kva
p:bunnings:19df7ee785f-1cd6f3,Optima_1001259031LC2B5-demand-kw
p:bunnings:19df7ee7762-0edfd2,Optima_1001157507CKBDA-demand-pf
p:bunnings:19df7ee78a9-73dca6,Optima_1001270903LC9AC-demand-kva
p:bunnings:19df7ee779e-79ed69,Optima_1001158924LC14A-demand-pf
p:bunnings:19df7ee78fe-f3e96a,Optima_1001275496UN338-demand-kw
p:bunnings:19df7ee7859-4f1b82,Optima_1001252900UN5F5-demand-pf
p:bunnings:19df7ee7875-a5c86c,Optima_1001259031LC2B5-demand-kva
p:bunnings:19df7ee794b-f290ad,Optima_1001297575LC86F-demand-kw
p:bunnings:19df7ee797b-7258fc,Optima_1001297575LC86F-demand-kva
p:bunnings:19df7ee7927-7b75bb,Optima_1001275496UN338-demand-kva
p:bunnings:19df7ee79ae-55374e,Optima_1001297575LC86F-demand-pf
p:bunnings:19df7ee787d-a0c3cb,Optima_1001259031LC2B5-demand-pf
p:bunnings:19df7ee789b-a9f167,Optima_1001270903LC9AC-demand-kw
p:bunnings:19df7ee78eb-d13c8d,Optima_1001270903LC9AC-demand-pf
p:bunnings:19df7ee79dc-3646c2,Optima_1002001101TC148-demand-kva
p:bunnings:19df7ee7258-ae1886,Optima_0001110497EN2BF-demand-kw
p:bunnings:19df7ee792b-c56625,Optima_1001275496UN338-demand-pf
p:bunnings:19df7ee79bc-14b001,Optima_1002001101TC148-demand-kw
p:bunnings:19df7ee7a19-2441d7,Optima_1002077295UN9AD-demand-kw
p:bunnings:19df7ee7a4c-92e4bb,Optima_1002108261UNF05-demand-kw
p:bunnings:19df7ee7a58-d055d0,Optima_1002108261UNF05-demand-kva
p:bunnings:19df7ee7a91-adeb9a,Optima_1002108439UN31F-demand-kva
p:bunnings:19df7ee7a3f-186729,Optima_1002077295UN9AD-demand-pf
p:bunnings:19df7ee7a3a-e815ea,Optima_1002077295UN9AD-demand-kva
p:bunnings:19df7ee7acb-1c9420,Optima_1002108440UN813-demand-kw
p:bunnings:19df7ee7a0f-5b9c99,Optima_1002001101TC148-demand-pf
p:bunnings:19df7ee7b23-5444c3,Optima_1002108442UN896-demand-kva
p:bunnings:19df7ee7af2-b97793,Optima_1002108442UN896-demand-kw
p:bunnings:19df7ee7a62-93dfb3,Optima_1002108261UNF05-demand-pf
p:bunnings:19df7ee7353-438085,Optima_0003133799AAC0A-demand-pf
p:bunnings:19df7ee7b57-c8563e,Optima_1002108442UN896-demand-pf
p:bunnings:19df7ee7ab8-3c81cd,Optima_1002108439UN31F-demand-pf
p:bunnings:19df7ee7a90-847ae8,Optima_1002108439UN31F-demand-kw
p:bunnings:19df7ee7ada-96b68d,Optima_1002108440UN813-demand-kva
p:bunnings:19df7ee7aea-317e5b,Optima_1002108440UN813-demand-pf
p:bunnings:19df7ee7b90-64960d,Optima_1002108443UN4D3-demand-pf
p:bunnings:19df7ee7b97-61b124,Optima_1002108444UN919-demand-kva
p:bunnings:19df7ee7bbb-717911,Optima_1099580844CNA11-demand-kw
p:bunnings:19df7ee7b65-0ea2a0,Optima_1002108443UN4D3-demand-kw
p:bunnings:19df7ee7b7b-124189,Optima_1002108443UN4D3-demand-kva
p:bunnings:19df7ee7ba5-5c4736,Optima_1002108444UN919-demand-pf
p:bunnings:19df7ee7c04-6e75d9,Optima_2002105104-demand-kva
p:bunnings:19df7ee7bfb-2f16a2,Optima_2002105104-demand-kw
p:bunnings:19df7ee7b92-ec9b86,Optima_1002108444UN919-demand-kw
p:bunnings:19df7ee7c3a-028af3,Optima_2002130695-demand-pf
p:bunnings:19df7ee7c26-f0e722,Optima_2002130695-demand-kw
p:bunnings:19df7ee7beb-7c4d4f,Optima_1099580844CNA11-demand-kva
p:bunnings:19df7ee7c4a-bd861d,Optima_2002184180-demand-kw
p:bunnings:19df7ee7c7d-1be14a,Optima_2002184180-demand-pf
p:bunnings:19df7ee7c23-1be777,Optima_2002105104-demand-pf
p:bunnings:19df7ee7c85-60c28a,Optima_2002211046-demand-kva
p:bunnings:19df7ee7c7d-54d5a0,Optima_2002184180-demand-kva
p:bunnings:19df7ee7c97-2b23db,Optima_2002211046-demand-pf
p:bunnings:19df7ee7c7f-9b59d0,Optima_2002211046-demand-kw
p:bunnings:19df7ee7cc2-d349e2,Optima_2002241346-demand-kva
p:bunnings:19df7ee7cb9-67ac51,Optima_2002241346-demand-kw
p:bunnings:19df7ee7cd6-ef7d13,Optima_2002246173-demand-pf
p:bunnings:19df7ee7cd5-c82b96,Optima_2002246173-demand-kva
p:bunnings:19df7ee7c2b-1544e7,Optima_2002130695-demand-kva
p:bunnings:19df7ee7d11-62d092,Optima_2002273557-demand-kw
p:bunnings:19df7ee7cd3-b0cc53,Optima_2002246173-demand-kw
p:bunnings:19df7ee7cf9-621257,Optima_2002261274-demand-kw
p:bunnings:19df7ee7d03-126e26,Optima_2002261274-demand-kva
p:bunnings:19df7ee7d09-e33915,Optima_2002261274-demand-pf
p:bunnings:19df7ee7d60-c3759b,Optima_2002273557-demand-pf
p:bunnings:19df7ee7cc5-449e5a,Optima_2002241346-demand-pf
p:bunnings:19df7ee7d75-ac2c93,Optima_2002274788-demand-kva
p:bunnings:19df7ee7d6f-1e15bf,Optima_2002274788-demand-kw
p:bunnings:19df7ee7d93-ea7093,Optima_2002274788-demand-pf
