point_vertex_id,nem12_id
p:racv:19dfa51564b-7f4a48,Optima_3117512760-demand-kva
p:racv:19dfa51596e-fa8b77,Optima_3120682540-demand-kva
p:racv:19dfa515659-848297,Optima_3120033315-demand-kw
p:racv:19dfa515bc2-d1ccb5,Optima_3120682541-demand-kw
p:racv:19dfa515668-2a0968,Optima_3120040266-demand-kva
p:racv:19dfa51566d-513fb5,Optima_3120040266-demand-pf
p:racv:19dfa515653-a04886,Optima_3117512760-demand-pf
p:racv:19dfa51565d-58e1c3,Optima_3120033315-demand-pf
p:racv:19dfa515659-1f8679,Optima_3120033315-demand-kva
p:racv:19dfa51564b-d23db6,Optima_3117512760-demand-kw
p:racv:19dfa51566e-91777e,Optima_3120682540-demand-kw
p:racv:19dfa515661-608af1,Optima_3120040266-demand-kw
p:racv:19dfa515c15-35896e,Optima_3120682542-demand-kw
p:racv:19dfa515cb9-c47009,Optima_3120682544-demand-kw
p:racv:19dfa515c91-f7ba06,Optima_3120682543-demand-pf
p:racv:19dfa515b8b-b4afa4,Optima_3120682540-demand-pf
p:racv:19dfa515dd0-b9fb06,Optima_6102014610-demand-kva
p:racv:19dfa515e49-d059c2,Optima_6102014610-demand-pf
p:racv:19dfa515e6f-3a49d4,Optima_6102014611-demand-kw
p:racv:19dfa515e8e-bef2d4,Optima_6102014611-demand-kva
p:racv:19dfa515eae-c6a306,Optima_6102014611-demand-pf
p:racv:19dfa515ece-270dc2,Optima_6102019437-demand-kw
p:racv:19dfa515efd-95becc,Optima_6102019437-demand-kva
p:racv:19dfa515f25-68bcd5,Optima_6102019437-demand-pf
p:racv:19dfa515f45-2f6b2b,Optima_6102019438-demand-kw
p:racv:19dfa515f88-573d44,Optima_6102019438-demand-kva
p:racv:19dfa516133-172ed9,Optima_6102019438-demand-pf
p:racv:19dfa516151-2e64bb,Optima_6102019719-demand-kw
p:racv:19dfa516192-01034c,Optima_6102019719-demand-kva
p:racv:19dfa5161b1-bbca37,Optima_6102019719-demand-pf
p:racv:19dfa516232-9b44b5,Optima_6102026568-demand-kw
p:racv:19dfa51624d-27a468,Optima_6102026568-demand-kva
p:racv:19dfa5162d0-40ce42,Optima_6102026568-demand-pf
p:racv:19dfa5162ee-320f01,Optima_6102034058-demand-kw
p:racv:19dfa51630f-996428,Optima_6102034058-demand-kva
p:racv:19dfa516333-41c0f4,Optima_6102034058-demand-pf
p:racv:19dfa516370-679f83,Optima_6102049093-demand-kw
p:racv:19dfa516395-d73eb9,Optima_6102049093-demand-kva
p:racv:19dfa51640f-cdd8b7,Optima_6102049093-demand-pf
p:racv:19dfa51642d-7f5128,Optima_6102395013-demand-kw
p:racv:19dfa516461-510a4c,Optima_6102395013-demand-kva
p:racv:19dfa515c03-dca94e,Optima_3120682541-demand-pf
p:racv:19dfa516488-f508e5,Optima_6102395013-demand-pf
p:racv:19dfa5164a0-f2a442,Optima_6103063630-demand-kw
p:racv:19dfa515bec-7740ad,Optima_3120682541-demand-kva
p:racv:19dfa5164c4-de67bf,Optima_6103063630-demand-pf
p:racv:19dfa515c31-0272a5,Optima_3120682542-demand-kva
p:racv:19dfa5164dc-957332,Optima_6103084680-demand-kw
p:racv:19dfa515c4f-319673,Optima_3120682542-demand-pf
p:racv:19dfa5164a8-5df0d5,Optima_6103063630-demand-kva
p:racv:19dfa5164e8-6c3dd9,Optima_6103084680-demand-pf
p:racv:19dfa515c54-43f41d,Optima_3120682543-demand-kw
p:racv:19dfa51650e-244f79,Optima_6203740672-demand-kw
p:racv:19dfa516504-f76e69,Optima_6203624549-demand-kva
p:racv:19dfa515d08-4348bb,Optima_6102014610-demand-kw
p:racv:19dfa51652e-f61753,Optima_6203740672-demand-pf
p:racv:19dfa516506-afb5a7,Optima_6203624549-demand-pf
p:racv:19dfa515c78-83c826,Optima_3120682543-demand-kva
p:racv:19dfa515cda-2ad874,Optima_3120682544-demand-kva
p:racv:19dfa5164fa-39e251,Optima_6203624549-demand-kw
p:racv:19dfa51656b-b56efe,Optima_6203810579-demand-kw
p:racv:19dfa5164e7-d5d6a1,Optima_6103084680-demand-kva
p:racv:19dfa516564-7be312,Optima_6203746343-demand-pf
p:racv:19dfa51654d-ef2bf4,Optima_6203746343-demand-kva
p:racv:19dfa516526-befeea,Optima_6203740672-demand-kva
p:racv:19dfa51658f-7d5634,Optima_6204025561-demand-pf
p:racv:19dfa51658c-3bc3e8,Optima_6204025561-demand-kw
p:racv:19dfa516591-195795,Optima_6305723112-demand-kw
p:racv:19dfa515d04-d87f2c,Optima_3120682544-demand-pf
p:racv:19dfa51654c-d92da3,Optima_6203746343-demand-kw
p:racv:19dfa516574-789f4e,Optima_6203810579-demand-kva
p:racv:19dfa5165b6-d36114,Optima_6305806606-demand-kw
p:racv:19dfa5165e0-94ed9f,Optima_6407100888-demand-pf
p:racv:19dfa516579-be096e,Optima_6203810579-demand-pf
p:racv:19dfa5165bb-05af2c,Optima_6305806606-demand-kva
p:racv:19dfa5165a2-346311,Optima_6305723112-demand-pf
p:racv:19dfa5165d1-276d1e,Optima_6407100888-demand-kw
p:racv:19dfa51658d-c46261,Optima_6204025561-demand-kva
p:racv:19dfa5165ef-40e38e,Optima_6407101004-demand-kw
p:racv:19dfa51659b-09499b,Optima_6305723112-demand-kva
p:racv:19dfa51660a-0208cd,Optima_6407102558-demand-kva
p:racv:19dfa516608-e7fd43,Optima_6407102558-demand-kw
p:racv:19dfa516618-dcf8ee,Optima_6407102558-demand-pf
p:racv:19dfa51662a-7497e1,Optima_6407104267-demand-kw
p:racv:19dfa5165c8-ad324b,Optima_6305806606-demand-pf
p:racv:19dfa51663a-579f67,Optima_6407107993-demand-kw
p:racv:19dfa516601-3dbc69,Optima_6407101004-demand-kva
p:racv:19dfa51662c-ab4e58,Optima_6407104267-demand-kva
p:racv:19dfa51662f-b330b6,Optima_6407104267-demand-pf
p:racv:19dfa516655-9c7963,Optima_6407107993-demand-kva
p:racv:19dfa516608-cf456d,Optima_6407101004-demand-pf
p:racv:19dfa5165d9-f0f238,Optima_6407100888-demand-kva
p:racv:19dfa51665d-bfe942,Optima_6407108925-demand-kva
p:racv:19dfa516677-61f42b,Optima_6407210594-demand-pf
p:racv:19dfa516657-4a453a,Optima_6407107993-demand-pf
p:racv:19dfa51668c-72b0db,Optima_6407604489-demand-kva
p:racv:19dfa5166a6-5bbc3a,Optima_6407604495-demand-kw
p:racv:19dfa516694-e95cc7,Optima_6407604489-demand-pf
p:racv:19dfa5166f2-0ec197,Optima_6407630532-demand-pf
p:racv:19dfa51666c-ae4818,Optima_6407210594-demand-kw
p:racv:19dfa51667f-de9f18,Optima_6407604489-demand-kw
p:racv:19dfa516657-97e643,Optima_6407108925-demand-kw
p:racv:19dfa5166e3-a6f2f2,Optima_6407630532-demand-kva
p:racv:19dfa516668-886c63,Optima_6407108925-demand-pf
p:racv:19dfa51672a-3cabb1,Optima_6407670216-demand-kva
p:racv:19dfa5166af-610c9d,Optima_6407604495-demand-kva
p:racv:19dfa51672b-6dbaaa,Optima_6407670216-demand-pf
p:racv:19dfa51675c-f905cc,Optima_6407670218-demand-kva
p:racv:19dfa51672c-3e6a1a,Optima_6407670217-demand-kva
p:racv:19dfa516676-b26287,Optima_6407210594-demand-kva
p:racv:19dfa516780-ed511e,Optima_6407670219-demand-kw
p:racv:19dfa51672b-c805f1,Optima_6407670217-demand-kw
p:racv:19dfa516748-916351,Optima_6407670217-demand-pf
p:racv:19dfa5166bd-8c8533,Optima_6407630532-demand-kw
p:racv:19dfa5167a2-a7c53a,Optima_6407670220-demand-pf
p:racv:19dfa5167c1-77516f,Optima_6407679506-demand-kva
p:racv:19dfa51672a-fe8e80,Optima_6407670216-demand-kw
p:racv:19dfa51679a-47a200,Optima_6407670219-demand-pf
p:racv:19dfa51679d-004f99,Optima_6407670220-demand-kw
p:racv:19dfa516808-3dbcce,Optima_6408269542-demand-kva
p:racv:19dfa516824-aad72e,Optima_6408269542-demand-pf
p:racv:19dfa516792-96fcfa,Optima_6407670219-demand-kva
p:racv:19dfa5167a1-e2c80d,Optima_6407670220-demand-kva
p:racv:19dfa51686e-a66334,Optima_6408507131-demand-kw
p:racv:19dfa516757-db3fe0,Optima_6407670218-demand-kw
p:racv:19dfa516848-88df9b,Optima_6408269543-demand-kva
p:racv:19dfa5167e4-c29d8f,Optima_6407679506-demand-pf
p:racv:19dfa5168ac-a5a9d6,Optima_6408507131-demand-pf
p:racv:19dfa5167f3-cffa10,Optima_6408269542-demand-kw
p:racv:19dfa516826-a43099,Optima_6408269543-demand-kw
p:racv:19dfa51684c-6b108d,Optima_6408269543-demand-pf
p:racv:19dfa516899-84693a,Optima_6408507131-demand-kva
p:racv:19dfa5168be-778e6b,Optima_8000282622-demand-kva
p:racv:19dfa5168f7-948c3a,Optima_8000282774-demand-kva
p:racv:19dfa516919-352a44,Optima_8000282774-demand-pf
p:racv:19dfa5168bc-cafe86,Optima_8000282622-demand-kw
p:racv:19dfa516959-b8a4ff,Optima_QB08646325-demand-kw
p:racv:19dfa5168cd-d50bb0,Optima_8000282622-demand-pf
p:racv:19dfa516977-96c45d,Optima_QB08646325-demand-kva
p:racv:19dfa5168ec-47860b,Optima_8000282774-demand-kw
p:racv:19dfa516995-9152fe,Optima_QB08833443-demand-kva
p:racv:19dfa5169c1-2ddeba,Optima_QB08833443-demand-pf
p:racv:19dfa51692a-156e53,Optima_QB08517762-demand-kw
p:racv:19dfa5169dc-f680d2,Optima_QB09351795-demand-kva
p:racv:19dfa516937-a3ae68,Optima_QB08517762-demand-kva
p:racv:19dfa5169c9-0513cf,Optima_QB09351795-demand-kw
p:racv:19dfa5169fe-ad587b,Optima_QB09351795-demand-pf
p:racv:19dfa516977-c045c8,Optima_QB08646325-demand-pf
p:racv:19dfa516a0d-2d27e5,Optima_VAAA000162-demand-pf
p:racv:19dfa516939-dd0f29,Optima_QB08517762-demand-pf
p:racv:19dfa51698a-1b77eb,Optima_QB08833443-demand-kw
p:racv:19dfa516a2e-5a4845,Optima_VCCCSE0016-demand-pf
p:racv:19dfa516a24-c33406,Optima_VCCCSE0016-demand-kva
p:racv:19dfa516a4d-63d777,Optima_VEEE06F6Y7-demand-pf
p:racv:19dfa516a03-901cb4,Optima_VAAA000162-demand-kva
p:racv:19dfa516a4e-3ad2b5,Optima_VEEE0TEU17-demand-kw
p:racv:19dfa516a20-ed42d6,Optima_VCCCSE0016-demand-kw
p:racv:19dfa516a3f-ce61ab,Optima_VEEE06F6Y7-demand-kw
p:racv:19dfa516a44-315fbd,Optima_VEEE06F6Y7-demand-kva
p:racv:19dfa516a72-379992,Optima_VEEE0TEU17-demand-kva
p:racv:19dfa516a9b-5d34b7,Optima_VEEE0TEU17-demand-pf
p:racv:19dfa5166b6-f1b22b,Optima_6407604495-demand-pf
p:racv:19dfa5167a3-600dda,Optima_6407679506-demand-kw
p:racv:19dfa51676e-df96dc,Optima_6407670218-demand-pf
p:racv:19dfa516a01-268f3d,Optima_VAAA000162-demand-kw
