identifier,field,nem12_id,label,point_category,meter_vertex_id
0000005438UN02B,kw,Optima_0000005438UN02B-demand-kw,0000005438UN02B Demand kW,demand,p:bunnings:19c02b17dc0-d01c3fc7
0000005438UN02B,kva,Optima_0000005438UN02B-demand-kva,0000005438UN02B Demand kVA,demand,p:bunnings:19c02b17dc0-d01c3fc7
0000005438UN02B,pf,Optima_0000005438UN02B-demand-pf,0000005438UN02B Demand Power Factor,demand,p:bunnings:19c02b17dc0-d01c3fc7
0000010008MQCB6,kw,Optima_0000010008MQCB6-demand-kw,0000010008MQCB6 Demand kW,demand,p:bunnings:19c02b17d86-16fd764a
0000010008MQCB6,kva,Optima_0000010008MQCB6-demand-kva,0000010008MQCB6 Demand kVA,demand,p:bunnings:19c02b17d86-16fd764a
0000010008MQCB6,pf,Optima_0000010008MQCB6-demand-pf,0000010008MQCB6 Demand Power Factor,demand,p:bunnings:19c02b17d86-16fd764a
0000010167EN578,kw,Optima_0000010167EN578-demand-kw,0000010167EN578 Demand kW,demand,p:bunnings:19c02b17e36-737438a4
0000010167EN578,kva,Optima_0000010167EN578-demand-kva,0000010167EN578 Demand kVA,demand,p:bunnings:19c02b17e36-737438a4
0000010167EN578,pf,Optima_0000010167EN578-demand-pf,0000010167EN578 Demand Power Factor,demand,p:bunnings:19c02b17e36-737438a4
0000010201MQ8E0,kw,Optima_0000010201MQ8E0-demand-kw,0000010201MQ8E0 Demand kW,demand,p:bunnings:19c02b17d38-c8871a5b
0000010201MQ8E0,kva,Optima_0000010201MQ8E0-demand-kva,0000010201MQ8E0 Demand kVA,demand,p:bunnings:19c02b17d38-c8871a5b
0000010201MQ8E0,pf,Optima_0000010201MQ8E0-demand-pf,0000010201MQ8E0 Demand Power Factor,demand,p:bunnings:19c02b17d38-c8871a5b
0000010301MQ1E4,kw,Optima_0000010301MQ1E4-demand-kw,0000010301MQ1E4 Demand kW,demand,p:bunnings:19c02b17d5a-6392952d
0000010301MQ1E4,kva,Optima_0000010301MQ1E4-demand-kva,0000010301MQ1E4 Demand kVA,demand,p:bunnings:19c02b17d5a-6392952d
0000010301MQ1E4,pf,Optima_0000010301MQ1E4-demand-pf,0000010301MQ1E4 Demand Power Factor,demand,p:bunnings:19c02b17d5a-6392952d
0000017507WE6E9,kw,Optima_0000017507WE6E9-demand-kw,0000017507WE6E9 Demand kW,demand,p:bunnings:19c02b17a50-45dc458b
