identifier,field,nem12_id,label,point_category,meter_vertex_id
3117512760,kw,Optima_3117512760-demand-kw,3117512760 Demand kW,demand,p:racv:18b15aa2c4e-e5b5ffc3
3117512760,kva,Optima_3117512760-demand-kva,3117512760 Demand kVA,demand,p:racv:18b15aa2c4e-e5b5ffc3
3117512760,pf,Optima_3117512760-demand-pf,3117512760 Demand Power Factor,demand,p:racv:18b15aa2c4e-e5b5ffc3
3120033315,kw,Optima_3120033315-demand-kw,3120033315 Demand kW,demand,p:racv:1979c3bbeb3-22f3552
3120033315,kva,Optima_3120033315-demand-kva,3120033315 Demand kVA,demand,p:racv:1979c3bbeb3-22f3552
3120033315,pf,Optima_3120033315-demand-pf,3120033315 Demand Power Factor,demand,p:racv:1979c3bbeb3-22f3552
3120040266,kw,Optima_3120040266-demand-kw,3120040266 Demand kW,demand,p:racv:1979c3f3733-3a8f7dbd
3120040266,kva,Optima_3120040266-demand-kva,3120040266 Demand kVA,demand,p:racv:1979c3f3733-3a8f7dbd
3120040266,pf,Optima_3120040266-demand-pf,3120040266 Demand Power Factor,demand,p:racv:1979c3f3733-3a8f7dbd
3120682540,kw,Optima_3120682540-demand-kw,3120682540 Demand kW,demand,p:racv:1979beda253-d2c5b158
3120682540,kva,Optima_3120682540-demand-kva,3120682540 Demand kVA,demand,p:racv:1979beda253-d2c5b158
3120682540,pf,Optima_3120682540-demand-pf,3120682540 Demand Power Factor,demand,p:racv:1979beda253-d2c5b158
3120682541,kw,Optima_3120682541-demand-kw,3120682541 Demand kW,demand,p:racv:1979c39c7bb-dcaeb3f
3120682541,kva,Optima_3120682541-demand-kva,3120682541 Demand kVA,demand,p:racv:1979c39c7bb-dcaeb3f
3120682541,pf,Optima_3120682541-demand-pf,3120682541 Demand Power Factor,demand,p:racv:1979c39c7bb-dcaeb3f
3120682542,kw,Optima_3120682542-demand-kw,3120682542 Demand kW,demand,p:racv:1979c2b8058-e6eff850
3120682542,kva,Optima_3120682542-demand-kva,3120682542 Demand kVA,demand,p:racv:1979c2b8058-e6eff850
3120682542,pf,Optima_3120682542-demand-pf,3120682542 Demand Power Factor,demand,p:racv:1979c2b8058-e6eff850
3120682543,kw,Optima_3120682543-demand-kw,3120682543 Demand kW,demand,p:racv:1979c35d505-ec3fe645
3120682543,kva,Optima_3120682543-demand-kva,3120682543 Demand kVA,demand,p:racv:1979c35d505-ec3fe645
3120682543,pf,Optima_3120682543-demand-pf,3120682543 Demand Power Factor,demand,p:racv:1979c35d505-ec3fe645
3120682544,kw,Optima_3120682544-demand-kw,3120682544 Demand kW,demand,p:racv:1979c37f978-887ea1e2
3120682544,kva,Optima_3120682544-demand-kva,3120682544 Demand kVA,demand,p:racv:1979c37f978-887ea1e2
3120682544,pf,Optima_3120682544-demand-pf,3120682544 Demand Power Factor,demand,p:racv:1979c37f978-887ea1e2
6102014610,kw,Optima_6102014610-demand-kw,6102014610 Demand kW,demand,p:racv:18b15aa2b2e-954b9dfa
6102014610,kva,Optima_6102014610-demand-kva,6102014610 Demand kVA,demand,p:racv:18b15aa2b2e-954b9dfa
6102014610,pf,Optima_6102014610-demand-pf,6102014610 Demand Power Factor,demand,p:racv:18b15aa2b2e-954b9dfa
6102014611,kw,Optima_6102014611-demand-kw,6102014611 Demand kW,demand,p:racv:18b15aa2cc2-92ee6df1
6102014611,kva,Optima_6102014611-demand-kva,6102014611 Demand kVA,demand,p:racv:18b15aa2cc2-92ee6df1
6102014611,pf,Optima_6102014611-demand-pf,6102014611 Demand Power Factor,demand,p:racv:18b15aa2cc2-92ee6df1
6102019437,kw,Optima_6102019437-demand-kw,6102019437 Demand kW,demand,p:racv:18b15aa2ce1-1e8984ab
6102019437,kva,Optima_6102019437-demand-kva,6102019437 Demand kVA,demand,p:racv:18b15aa2ce1-1e8984ab
6102019437,pf,Optima_6102019437-demand-pf,6102019437 Demand Power Factor,demand,p:racv:18b15aa2ce1-1e8984ab
6102019438,kw,Optima_6102019438-demand-kw,6102019438 Demand kW,demand,p:racv:18b15aa2b44-399f05e4
6102019438,kva,Optima_6102019438-demand-kva,6102019438 Demand kVA,demand,p:racv:18b15aa2b44-399f05e4
6102019438,pf,Optima_6102019438-demand-pf,6102019438 Demand Power Factor,demand,p:racv:18b15aa2b44-399f05e4
6102019719,kw,Optima_6102019719-demand-kw,6102019719 Demand kW,demand,p:racv:18b15aa2cf9-1e78d1a8
6102019719,kva,Optima_6102019719-demand-kva,6102019719 Demand kVA,demand,p:racv:18b15aa2cf9-1e78d1a8
6102019719,pf,Optima_6102019719-demand-pf,6102019719 Demand Power Factor,demand,p:racv:18b15aa2cf9-1e78d1a8
6102026568,kw,Optima_6102026568-demand-kw,6102026568 Demand kW,demand,p:racv:18b15aa2b5c-cd40c93c
6102026568,kva,Optima_6102026568-demand-kva,6102026568 Demand kVA,demand,p:racv:18b15aa2b5c-cd40c93c
