siteName,optimaSiteIdStr
Cape Schanck Resort,4154fe2c-b88f-4556-9829-aa8d0041a040
Cape Schanck Resort,4bd02708-c2c7-4b22-94d7-aa8d0041a02d
Cape Schanck Resort,7de417c9-0ff1-4ed5-a426-aa8d00419f77
Cape Schanck Resort,8a0e7705-608d-4c73-ab66-aa8d0041a01a
Cape Schanck Resort,348741dc-3595-4bdf-b97b-aa8d0041a429
Cape Schanck Resort,e3f3b3d4-4c7b-4015-addf-aa8d0041a086
Cape Schanck Resort,1445f4ad-e0b9-4e19-bde8-aa8d00419f93
Cape Schanck Resort,5ef28569-bb2f-4781-9c9e-aa8d00419f69
Cape Schanck Resort,d3a9c7e2-a323-45cc-aacd-aa8d00419fec
Cape Schanck Resort,d08adeae-49f0-4060-8dd5-aa8d0041a094
Cape Schanck Resort,5cef5959-8458-40ac-b86d-aa8d0041a061
Cape Schanck Resort,78bcf857-601b-4a56-9ec6-aa8d00419fc6
Cape Schanck Resort,8775ead9-8169-46bd-a3d3-aa8d00419fd9
Cape Schanck Resort,5de6bae9-2859-404c-b0a9-aa8d00419fb8
Cape Schanck Resort,1c8da272-a91d-4fa7-94a9-aa8d00419f85
Cape Schanck Resort,328707b0-cf29-4788-b3ad-aa8d00419ffa
Cape Schanck Resort,e4b0461c-88a9-42ef-a619-aa8d0041a00c
Cape Schanck Resort,e8baca44-047f-4ee4-ab39-aa8d0041a43c
Cape Schanck Resort,ec94e347-c361-403a-badf-aa8d0041a44f
Cobram Resort,91cc9792-a615-476c-911b-aa8d0041a39d
Cobram Resort,c340539f-27d3-43ab-8f5b-aa8d00419f48
Collingwood Nationwide,f80fdc3f-55c4-4f04-b97f-af5f0069b054
Eagle House,26eb0f7a-a835-462e-9b8e-aa8d0041a378
Eagle House,76098fa0-fbf7-4372-9c73-aa8d0041a38a
Goldfields Resort,14bef298-f712-48f1-a16a-aa8d0041a34d
Goldfields Resort,55c28df0-3144-48b7-8563-aa8d0041a360
Grovedale Warehouse,37240926-79a6-4468-b064-af5f0069a837
Healesville Country Club,36fc7b08-e3c8-4d31-98ef-aa8d0041a33f
Hobart Apartment Hotel,4300415f-85f6-4e14-bd5a-aa8d0041a315
Hobart Apartment Hotel,097a8b63-54b9-4f34-ac0d-aa8d0041a32d
Inverloch,144a4ba4-b1ee-4398-a148-aa8d0041a303
Noble Park,88e777b3-1b1d-468a-b1f7-aa8d0041a2dd
Noble Park Warehouse,b497c295-b8b5-44b9-acc8-b1c400485314
Noosa Resort,92486687-867a-4086-8943-af5f0069b0b2
Noosa Resort,4f5855e0-0563-4bdc-b2d9-aa8d0041a2ca
Noosa Resort,55eae4cb-392c-429c-9d86-aabf00151e97
Noosa Resort,bfa33028-78fd-41f0-b743-aabf00151eae
Noosa Resort,e5d8a308-fca8-4ca6-9d59-af5f0069b104
Noosa Resort,be796001-098d-45ac-a456-aabf00151ed8
Noosa Resort,eb6383e1-5e42-4ec3-96b0-aabf00151eef
Noosa Resort,65401d15-eca4-4827-ba01-aabf00151f02
RACV Centre,8b2418f4-2320-4757-8f12-aa8d0041a3ff
RACV Centre,c6fc5d70-5b3e-4430-a628-aa8d0041a3ed
RACV Centre,0477ac45-d8a3-423d-88b7-aa8d0041a2f0
RACV Centre,967dee74-5cef-427e-a988-b20c0018c3a0
RACV Centre,7e3b90f7-461e-46fe-b06d-aa8d0041a3b4
RACV Centre,21b2f9d0-0e51-4583-a44a-aa8d0041a3da
RACV Centre,ad5c79aa-69be-4668-a690-abd400903aeb
RACV Centre,e5289fd7-bd60-4e27-a54b-abf30080e144
RACV Club,11521bdc-3269-4e76-8e64-aa8d0041a3c2
Royal Pines,f3395abb-e389-47d1-8a4b-aa8d0041a2aa
Royal Pines,d2978954-f8a8-4fd1-8ec5-aa8d0041a292
Royal Pines,516cda9f-8b0c-4b29-bd7f-aa8d00419dcd
Royal Pines,a37dcc00-6a0a-4212-8c8e-aa8d0041a2b8
Torquay Resort,37ae073d-ae28-43f1-8d0a-aa8d0041a27f
